,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,date_tag,fig_name,fig_num
0,geno_day,WT VEH,Het VEH,"(8,)","(7,)",14.125,0.6665,13.5714,1.0433,MWU,[31.5      0.72392],0.723918657357857,[0],[2],"('WT VEH', 'Het VEH')","[[ 6.92621833e-02  1.40000000e+01]
 [-3.73452966e-02  1.50000000e+01]
 [ 4.90963191e-03  1.50000000e+01]
 [-1.13094212e-02  1.70000000e+01]
 [-5.40845573e-02  1.50000000e+01]
 [ 6.88278179e-03  1.20000000e+01]
 [ 8.27924049e-02  1.40000000e+01]
 [-8.55903840e-03  1.10000000e+01]]","[[ 2.06582938 11.        ]
 [ 2.06592067 18.        ]
 [ 1.95460999 12.        ]
 [ 1.91184864 15.        ]
 [ 2.03410561 16.        ]
 [ 2.0186131  11.        ]
 [ 2.03433082 12.        ]]",17.0,18.0,0.006568586055344602,2.0121797456591075,18.0,IA_TTC,geno_day,geno_day,True,28_Aug_2025,IA Performance,1
1,geno_day,WT VEH,WT CLNZ,"(8,)","(8,)",14.125,0.6665,13.5,0.6814,MWU,[39.5      0.45349],0.4534850238670385,[0],[1],"('WT VEH', 'WT CLNZ')","[[ 6.92621833e-02  1.40000000e+01]
 [-3.73452966e-02  1.50000000e+01]
 [ 4.90963191e-03  1.50000000e+01]
 [-1.13094212e-02  1.70000000e+01]
 [-5.40845573e-02  1.50000000e+01]
 [ 6.88278179e-03  1.20000000e+01]
 [ 8.27924049e-02  1.40000000e+01]
 [-8.55903840e-03  1.10000000e+01]]","[[ 0.98613971 13.        ]
 [ 1.08782556 12.        ]
 [ 1.05567785 11.        ]
 [ 1.0431941  12.        ]
 [ 1.0605515  14.        ]
 [ 0.91856016 14.        ]
 [ 1.00363051 17.        ]
 [ 1.07300405 15.        ]]",17.0,17.0,0.006568586055344602,1.0285729305603053,17.0,IA_TTC,geno_day,geno_day,True,28_Aug_2025,IA Performance,1
2,geno_day,WT CLNZ,Het VEH,"(8,)","(7,)",13.5,0.6814,13.5714,1.0433,MWU,[29.5      0.90653],0.9065295699541427,[1],[2],"('WT CLNZ', 'Het VEH')","[[ 0.98613971 13.        ]
 [ 1.08782556 12.        ]
 [ 1.05567785 11.        ]
 [ 1.0431941  12.        ]
 [ 1.0605515  14.        ]
 [ 0.91856016 14.        ]
 [ 1.00363051 17.        ]
 [ 1.07300405 15.        ]]","[[ 2.06582938 11.        ]
 [ 2.06592067 18.        ]
 [ 1.95460999 12.        ]
 [ 1.91184864 15.        ]
 [ 2.03410561 16.        ]
 [ 2.0186131  11.        ]
 [ 2.03433082 12.        ]]",17.0,18.0,1.0285729305603053,2.0121797456591075,18.0,IA_TTC,geno_day,geno_day,True,28_Aug_2025,IA Performance,1
3,geno_day,Het VEH,Het CLNZ,"(7,)","(7,)",13.5714,1.0433,14.1429,0.8289,MWU,[20.5      0.65075],0.6507507288295624,[2],[3],"('Het VEH', 'Het CLNZ')","[[ 2.06582938 11.        ]
 [ 2.06592067 18.        ]
 [ 1.95460999 12.        ]
 [ 1.91184864 15.        ]
 [ 2.03410561 16.        ]
 [ 2.0186131  11.        ]
 [ 2.03433082 12.        ]]","[[ 2.98235758 18.        ]
 [ 2.93951018 11.        ]
 [ 2.95792593 15.        ]
 [ 2.92842403 15.        ]
 [ 3.05666289 13.        ]
 [ 2.98250777 14.        ]
 [ 2.90683426 13.        ]]",18.0,18.0,2.0121797456591075,2.964888947953096,18.0,IA_TTC,geno_day,geno_day,True,28_Aug_2025,IA Performance,1
4,geno_day,Het VEH,Het postCLNZ,"(7,)","(7,)",13.5714,1.0433,13.1429,0.7997,MWU,[25.  1.],1.0,[2],[4],"('Het VEH', 'Het postCLNZ')","[[ 2.06582938 11.        ]
 [ 2.06592067 18.        ]
 [ 1.95460999 12.        ]
 [ 1.91184864 15.        ]
 [ 2.03410561 16.        ]
 [ 2.0186131  11.        ]
 [ 2.03433082 12.        ]]","[[ 4.024806   16.        ]
 [ 4.03212715 11.        ]
 [ 3.95969906 16.        ]
 [ 3.9892269  11.        ]
 [ 3.94442491 12.        ]
 [ 3.91467283 13.        ]
 [ 3.99384771 13.        ]]",18.0,16.0,2.0121797456591075,3.9798292218077314,18.0,IA_TTC,geno_day,geno_day,True,28_Aug_2025,IA Performance,1
