,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,comparison,date_tag,fig_name,fig_num
0,Late_IA,WT VEH,Het VEH,"(1000,)","(1000,)",1.1375,0.1741,1.1944,0.1677,robust_cohen_d,[3.3299e-01 3.6957e-01 1.0000e-04],0.369572084230261,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.225       1.20519865]
 [ 0.775       1.01378634]]","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]",1.5039091666633335,1.5694343479130988,-0.22499999999999998,-0.07499999999999998,[-0.22 -0.22],[0.89090117 1.50390917],True,True,[-0.07 -0.07],[0.93909658 1.56943435],1.5694343479130988,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
1,Late_IA,Het VEH,Het CLNZ,"(1000,)","(1000,)",1.1944,0.1677,0.9702,0.1143,robust_cohen_d,[1.562e+00 5.914e-02 1.000e-04],0.05914425032625914,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]","[[0.075      0.99475013]
 [1.075      1.02301622]]",1.5694343479130988,1.2135712682683613,-0.07499999999999998,0.07500000000000001,[-0.07 -0.07],[0.93909658 1.56943435],True,True,[0.08 0.08],[0.78190292 1.21357127],1.5694343479130988,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
2,Late_IA,Het VEH,Het postCLNZ,"(1000,)","(1000,)",1.1944,0.1677,1.0737,0.1479,robust_cohen_d,[7.6298e-01 2.2274e-01 1.0000e-04],0.22273801474576893,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]","[[0.225     1.1326814]
 [1.225     0.9822139]]",1.5694343479130988,1.3949993631630841,-0.07499999999999998,0.22500000000000003,[-0.07 -0.07],[0.93909658 1.56943435],True,True,[0.23 0.23],[0.84528113 1.39499936],1.5694343479130988,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
3,Early_RS_Correct,WT VEH,Het VEH,"(1000,)","(1000,)",0.9893,0.1293,1.1455,0.1412,robust_cohen_d,[1.15339e+00 1.24380e-01 1.00000e-04],0.1243753449292666,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.225       1.20519865]
 [ 0.775       1.01378634]]","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]",1.2791427701398355,1.4660602060197179,0.775,0.925,[0.78 0.78],[0.78370031 1.27914277],True,True,[0.92 0.92],[0.92132214 1.46606021],1.4660602060197179,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
4,Early_RS_Correct,Het VEH,Het CLNZ,"(1000,)","(1000,)",1.1455,0.1412,1.0002,0.1254,robust_cohen_d,[1.08773e+00 1.38360e-01 1.00000e-04],0.1383580284699415,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]","[[0.075      0.99475013]
 [1.075      1.02301622]]",1.4660602060197179,1.2682549603454283,0.925,1.075,[0.92 0.92],[0.92132214 1.46606021],True,True,[1.08 1.08],[0.8073174  1.26825496],1.4660602060197179,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
5,Early_RS_Correct,Het VEH,Het postCLNZ,"(1000,)","(1000,)",1.1455,0.1412,0.9668,0.1297,robust_cohen_d,[1.3177e+00 9.3800e-02 1.0000e-04],0.09380184114247547,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.075       1.27103939]
 [ 0.925       1.17100847]]","[[0.225     1.1326814]
 [1.225     0.9822139]]",1.4660602060197179,1.2354112137873225,0.925,1.225,[0.92 0.92],[0.92132214 1.46606021],True,True,[1.23 1.23],[0.77189303 1.23541121],1.4660602060197179,DB_index,geno_day,ensemble,False,Late_IA_v_Early_RS_Correct,28_Aug_2025,7_H_Autoencoder Late_IA_v_Early_RS_Correct DB index by ensembles,7
