,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,Early_IA_Correct,WT VEH,Het VEH,"(1000,)","(1000,)",0.984,0.0038,0.9839,0.0038,robust_cohen_d,[0.04543 0.48188 0.31517],0.4818827007698375,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.175       0.9840075 ]
 [ 0.825       0.95993875]]","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]",0.99,0.99,-0.175,-0.058333333333333334,[-0.18 -0.18],[0.9775 0.99  ],True,True,[-0.06 -0.06],[0.97625 0.99   ],0.99,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
1,Early_IA_Correct,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9839,0.0038,0.9902,0.0029,robust_cohen_d,[1.8572e+00 3.1640e-02 1.0000e-04],0.031641516026787886,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]","[[0.05833333 0.98994625]
 [1.05833333 0.9366575 ]]",0.99,0.995,-0.058333333333333334,0.05833333333333332,[-0.06 -0.06],[0.97625 0.99   ],True,True,[0.06 0.06],[0.985 0.995],0.995,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
2,Early_IA_Correct,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9839,0.0038,0.9934,0.0024,robust_cohen_d,[2.99286e+00 1.38000e-03 1.00000e-04],0.0013818617378776876,[0],[0],Early_IA_Correct,Early_IA_Correct,"(0, 0)","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]","[[0.175     0.9932875]
 [1.175     0.9640925]]",0.99,0.9975,-0.058333333333333334,0.175,[-0.06 -0.06],[0.97625 0.99   ],True,True,[0.18 0.18],[0.98875 0.9975 ],0.9975,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
3,Late_IA,WT VEH,Het VEH,"(1000,)","(1000,)",0.9602,0.0058,0.9352,0.0067,robust_cohen_d,[3.97147e+00 4.00000e-05 1.00000e-04],3.57151650309806e-05,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.175       0.9840075 ]
 [ 0.825       0.95993875]]","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]",0.97125,0.9474999999999999,0.825,0.9416666666666667,[0.82 0.82],[0.94875 0.97125],True,True,[0.94 0.94],[0.9225 0.9475],0.97125,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
4,Late_IA,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9352,0.0067,0.9369,0.0071,robust_cohen_d,[2.4620e-01 4.0276e-01 1.0000e-04],0.40276484249163425,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]","[[0.05833333 0.98994625]
 [1.05833333 0.9366575 ]]",0.9474999999999999,0.95,0.9416666666666667,1.0583333333333333,[0.94 0.94],[0.9225 0.9475],True,True,[1.06 1.06],[0.92375 0.95   ],0.95,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
5,Late_IA,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9352,0.0067,0.9644,0.0053,robust_cohen_d,[4.83295e+00 0.00000e+00 1.00000e-04],6.726352139718728e-07,[1],[1],Late_IA,Late_IA,"(1, 0)","[[-0.05833333  0.98364   ]
 [ 0.94166667  0.9350925 ]]","[[0.175     0.9932875]
 [1.175     0.9640925]]",0.9474999999999999,0.97375,0.9416666666666667,1.175,[0.94 0.94],[0.9225 0.9475],True,True,[1.18 1.18],[0.95375 0.97375],0.97375,accuracy,geno_day,enriched_group,False,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,28_Aug_2025,7_C_SVM classifier accuracy Early_IA_Correct_v_Late_IA by ensemble,7
