,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,Early_IA_Error,WT VEH,Het VEH,"(1000,)","(1000,)",0.9953,0.002,0.9833,0.0035,robust_cohen_d,[4.26167e+00 1.00000e-05 1.00000e-04],1.0145405649142347e-05,[0],[0],Early_IA_Error,Early_IA_Error,"(0, 0)","[[-0.175       0.99513375]
 [ 0.825       0.98278375]]","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]",0.99875,0.99,-0.175,-0.058333333333333334,[-0.18 -0.18],[0.99125 0.99875],True,True,[-0.06 -0.06],[0.97625 0.99   ],0.99875,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
1,Early_IA_Error,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9833,0.0035,0.9931,0.0024,robust_cohen_d,[3.2915e+00 5.0000e-04 1.0000e-04],0.0004982782696003607,[0],[0],Early_IA_Error,Early_IA_Error,"(0, 0)","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]","[[0.05833333 0.99284375]
 [1.05833333 0.974895  ]]",0.99,0.9975,-0.058333333333333334,0.05833333333333332,[-0.06 -0.06],[0.97625 0.99   ],True,True,[0.06 0.06],[0.98875 0.9975 ],0.9975,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
2,Early_IA_Error,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9833,0.0035,0.999,0.001,robust_cohen_d,[6.13042e+00 0.00000e+00 1.00000e-04],4.382446627815284e-10,[0],[0],Early_IA_Error,Early_IA_Error,"(0, 0)","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]","[[0.175     0.99871  ]
 [1.175     0.9481775]]",0.99,1.0,-0.058333333333333334,0.175,[-0.06 -0.06],[0.97625 0.99   ],True,True,[0.18 0.18],[0.9975 1.    ],1.0,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
3,Early_RS_Error,WT VEH,Het VEH,"(1000,)","(1000,)",0.9829,0.0038,0.8647,0.01,robust_cohen_d,[1.569446e+01 0.000000e+00 1.000000e-04],0.0,[1],[1],Early_RS_Error,Early_RS_Error,"(1, 0)","[[-0.175       0.99513375]
 [ 0.825       0.98278375]]","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]",0.98875,0.8825,0.825,0.9416666666666667,[0.82 0.82],[0.975   0.98875],True,True,[0.94 0.94],[0.84625 0.8825 ],0.98875,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
4,Early_RS_Error,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.8647,0.01,0.975,0.0039,robust_cohen_d,[1.460065e+01 0.000000e+00 1.000000e-04],0.0,[1],[1],Early_RS_Error,Early_RS_Error,"(1, 0)","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]","[[0.05833333 0.99284375]
 [1.05833333 0.974895  ]]",0.8825,0.9825,0.9416666666666667,1.0583333333333333,[0.94 0.94],[0.84625 0.8825 ],True,True,[1.06 1.06],[0.9675 0.9825],0.9825,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
5,Early_RS_Error,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.8647,0.01,0.9483,0.0062,robust_cohen_d,[1.007314e+01 0.000000e+00 1.000000e-04],0.0,[1],[1],Early_RS_Error,Early_RS_Error,"(1, 0)","[[-0.05833333  0.9831225 ]
 [ 0.94166667  0.86439625]]","[[0.175     0.99871  ]
 [1.175     0.9481775]]",0.8825,0.96,0.9416666666666667,1.175,[0.94 0.94],[0.84625 0.8825 ],True,True,[1.18 1.18],[0.93625 0.96   ],0.96,accuracy,geno_day,enriched_group,False,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,28_Aug_2025,5C_SVM classifier accuracy Early_IA_Error_v_Early_RS_Error by ensemble,5
