,category_compared_within,group_1,group_2,group_1_n,group_2_n,group_1_mean,group_1_sem,group_2_mean,group_2_sem,test_name,stat_result,pvalue,group_1_order_pos,group_2_order_pos,categorical_subgroup,tick_text,tick_pos,hue_group_1_locs,hue_group_2_locs,g1_num_loc,g2_num_loc,g1_cat_loc,g2_cat_loc,g_1_child_x,g_1_child_y,y_is_nonnan,y_is_2_elem,g_2_child_x,g_2_child_y,max_group_loc_val,numeric_var,hue_var,x_category_var,hue_is_x_axis,plot_name,date_tag,fig_name,fig_num
0,Early_RS_Correct,WT VEH,Het VEH,"(1000,)","(1000,)",0.9721,0.0052,0.9515,0.0059,robust_cohen_d,[3.70277e+00 1.10000e-04 1.00000e-04],0.00010662808852113237,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.175       0.9700825 ]
 [ 0.825       0.97174125]]","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]",0.98,0.96140625,0.825,0.9416666666666667,[0.82 0.82],[0.9625 0.98  ],True,True,[0.94 0.94],[0.94       0.96140625],0.98,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
1,Early_RS_Correct,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9515,0.0059,0.9645,0.0053,robust_cohen_d,[2.32345e+00 1.00800e-02 1.00000e-04],0.010077610717982743,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]","[[0.05833333 0.96865   ]
 [1.05833333 0.96437625]]",0.96140625,0.97375,0.9416666666666667,1.0583333333333333,[0.94 0.94],[0.94       0.96140625],True,True,[1.06 1.06],[0.955   0.97375],0.97375,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
2,Early_RS_Correct,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9515,0.0059,0.977,0.0043,robust_cohen_d,[4.95078e+00 0.00000e+00 1.00000e-04],3.695867379915896e-07,[1],[1],Early_RS_Correct,Early_RS_Correct,"(1, 0)","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]","[[0.175      0.968705  ]
 [1.175      0.97679625]]",0.96140625,0.9849999999999999,0.9416666666666667,1.175,[0.94 0.94],[0.94       0.96140625],True,True,[1.18 1.18],[0.96875 0.985  ],0.9849999999999999,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
3,Late_IA,WT VEH,Het VEH,"(1000,)","(1000,)",0.9702,0.0049,0.9656,0.0054,robust_cohen_d,[9.0282e-01 1.8331e-01 1.0000e-04],0.18331039428399565,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.175       0.9700825 ]
 [ 0.825       0.97174125]]","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]",0.97875,0.975,-0.175,-0.058333333333333334,[-0.18 -0.18],[0.96125 0.97875],True,True,[-0.06 -0.06],[0.955 0.975],0.97875,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
4,Late_IA,Het VEH,Het CLNZ,"(1000,)","(1000,)",0.9656,0.0054,0.9686,0.0052,robust_cohen_d,[5.6639e-01 2.8556e-01 1.0000e-04],0.28556483348773176,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]","[[0.05833333 0.96865   ]
 [1.05833333 0.96437625]]",0.975,0.9775,-0.058333333333333334,0.05833333333333332,[-0.06 -0.06],[0.955 0.975],True,True,[0.06 0.06],[0.96   0.9775],0.9775,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
5,Late_IA,Het VEH,Het postCLNZ,"(1000,)","(1000,)",0.9656,0.0054,0.9688,0.0056,robust_cohen_d,[5.9059e-01 2.7740e-01 1.0000e-04],0.27739871255725923,[0],[0],Late_IA,Late_IA,"(0, 0)","[[-0.05833333  0.96527625]
 [ 0.94166667  0.951285  ]]","[[0.175      0.968705  ]
 [1.175      0.97679625]]",0.975,0.9775,-0.058333333333333334,0.175,[-0.06 -0.06],[0.955 0.975],True,True,[0.18 0.18],[0.96   0.9775],0.9775,accuracy,geno_day,enriched_group,False,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,28_Aug_2025,7_G_SVM classifier accuracy Late_IA_v_Early_RS_Correct by ensemble,7
