,name,task_phase_vec,count
119,15_1_HET_RS3,Early_RS_Correct,3
120,15_1_HET_RS3,Early_IA_Error,2
121,15_1_HET_RS3,Early_RS_Error,2
122,5_3_WT_RS1,Late_IA,5
123,5_3_WT_RS1,Late_RS,5
124,5_3_WT_RS1,Early_IA_Correct,3
125,5_3_WT_RS1,Early_RS_Correct,3
126,5_3_WT_RS1,Early_IA_Error,2
127,5_3_WT_RS1,Early_RS_Error,2
128,5_3_WT_RS2,Late_IA,5
129,5_3_WT_RS2,Early_IA_Correct,4
130,5_3_WT_RS2,Late_RS,4
131,5_3_WT_RS2,Early_RS_Correct,3
132,5_3_WT_RS2,Early_RS_Error,2
133,5_3_WT_RS2,Early_IA_Error,1
134,6_2_WT_RS1,Late_IA,5
135,6_2_WT_RS1,Late_RS,5
136,6_2_WT_RS1,Early_IA_Correct,3
137,6_2_WT_RS1,Early_RS_Error,3
138,6_2_WT_RS1,Early_IA_Error,2
139,6_2_WT_RS1,Early_RS_Correct,2
140,6_2_WT_RS2,Early_IA_Correct,5
141,6_2_WT_RS2,Late_IA,5
142,6_2_WT_RS2,Late_RS,5
143,6_2_WT_RS2,Early_RS_Error,3
144,6_2_WT_RS2,Early_RS_Correct,2
145,7_2_WT_RS1,Late_RS,5
146,7_2_WT_RS1,Early_IA_Correct,4
147,7_2_WT_RS1,Late_IA,4
148,7_2_WT_RS1,Early_RS_Correct,3
149,7_2_WT_RS1,Early_RS_Error,2
150,7_2_WT_RS1,Early_IA_Error,1
151,7_4_WT_RS1,Late_IA,5
152,7_4_WT_RS1,Early_IA_Correct,4
153,7_4_WT_RS1,Late_RS,4
154,7_4_WT_RS1,Early_RS_Correct,3
155,7_4_WT_RS1,Early_RS_Error,2
156,7_4_WT_RS1,Early_IA_Error,1
157,7_5_WT_RS1,Late_IA,5
158,7_5_WT_RS1,Late_RS,5
159,7_5_WT_RS1,Early_IA_Correct,3
160,7_5_WT_RS1,Early_RS_Correct,3
161,7_5_WT_RS1,Early_IA_Error,2
162,7_5_WT_RS1,Early_RS_Error,2
163,7_5_WT_RS2,Late_IA,5
164,7_5_WT_RS2,Late_RS,5
165,7_5_WT_RS2,Early_IA_Correct,3
166,7_5_WT_RS2,Early_RS_Error,3
167,7_5_WT_RS2,Early_IA_Error,2
168,7_5_WT_RS2,Early_RS_Correct,2
169,7_6_HET_RS1,Early_IA_Correct,5
170,7_6_HET_RS1,Late_IA,5
171,7_6_HET_RS1,Late_RS,5
172,7_6_HET_RS1,Early_RS_Error,4
173,7_6_HET_RS1,Early_RS_Correct,1
174,7_6_HET_RS2,Late_IA,5
175,7_6_HET_RS2,Late_RS,5
176,7_6_HET_RS2,Early_IA_Error,3
177,7_6_HET_RS2,Early_RS_Error,3
178,7_6_HET_RS2,Early_IA_Correct,2
179,7_6_HET_RS2,Early_RS_Correct,2
180,7_6_HET_RS3,Late_IA,5
181,7_6_HET_RS3,Late_RS,4
182,7_6_HET_RS3,Early_IA_Correct,3
183,7_6_HET_RS3,Early_RS_Correct,3
184,7_6_HET_RS3,Early_IA_Error,2
185,7_6_HET_RS3,Early_RS_Error,2
186,9_3_HET_RS1,Late_IA,5
187,9_3_HET_RS1,Late_RS,5
188,9_3_HET_RS1,Early_IA_Correct,4
189,9_3_HET_RS1,Early_RS_Error,3
190,9_3_HET_RS1,Early_RS_Correct,2
191,9_3_HET_RS1,Early_IA_Error,1
192,9_3_HET_RS2,Late_IA,5
193,9_3_HET_RS2,Late_RS,4
194,9_3_HET_RS2,Early_IA_Correct,3
195,9_3_HET_RS2,Early_RS_Error,3
196,9_3_HET_RS2,Early_IA_Error,2
197,9_3_HET_RS2,Early_RS_Correct,2
198,9_3_HET_RS3,Late_IA,5
199,9_3_HET_RS3,Late_RS,4
200,9_3_HET_RS3,Early_IA_Correct,3
201,9_3_HET_RS3,Early_RS_Correct,3
202,9_3_HET_RS3,Early_IA_Error,2
203,9_3_HET_RS3,Early_RS_Error,2
